entity_name,entity_type,latitude,longitude,properties
Avenida Rodolfo Landeros Gallegos,carretera,21.9022405,-102.2530928,"{""codigo"":""Avenida Rodolfo Landeros Gallegos"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3,""velocidad_max"":""60""}"
Avenida Convención de 1914 Poniente,carretera,21.8714951,-102.3110403,"{""codigo"":""Avenida Convención de 1914 Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Benito Juárez,carretera,22.0681927,-102.2747944,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""velocidad_max"":""60""}"
Carretera San Marcos-Aguascalientes,carretera,22.1123435,-102.0560414,"{""codigo"":""MX25"",""tipo"":""federal"",""highway"":""primary"",""carriles"":1,""velocidad_max"":""80""}"
Avenida Siglo XXI,carretera,21.8537755,-102.2632996,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":1}"
Avenida Mariano Escobedo,carretera,21.8682107,-102.2769211,"{""codigo"":""Avenida Mariano Escobedo"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2}"
Avenida Siglo XXI,carretera,21.8534999,-102.3542674,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":3}"
Calle Confederación Nacional Campesina,carretera,21.8693552,-102.2516263,"{""codigo"":""Calle Confederación Nacional Campesina"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Héroe de Nacozari Norte,carretera,21.8916944,-102.2849822,"{""codigo"":""Avenida Héroe de Nacozari Norte"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""60""}"
Carretera Conejal,carretera,21.8932821,-102.2155645,"{""codigo"":""AGS79"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""60""}"
Calle Jaime Nunó,carretera,21.8782746,-102.2740103,"{""codigo"":""Calle Jaime Nunó"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Aguascalientes Norte,carretera,21.9157607,-102.2972875,"{""codigo"":""Avenida Aguascalientes Norte"",""tipo"":""federal"",""highway"":""primary"",""carriles"":5}"
Avenida Arborada,carretera,21.9500903,-102.2984711,"{""codigo"":""Avenida Arborada"",""tipo"":""calle"",""highway"":""residential""}"
Paseo de los Chicahuales,carretera,21.9502947,-102.3336017,"{""codigo"":""Paseo de los Chicahuales"",""tipo"":""federal"",""highway"":""primary""}"
Avenida Misión de San Jerónimo,carretera,21.8874309,-102.3367322,"{""codigo"":""Avenida Misión de San Jerónimo"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Francisco I. Madero Sur,carretera,22.1449087,-102.2736443,"{""codigo"":""Avenida Francisco I. Madero Sur"",""tipo"":""calle"",""highway"":""residential""}"
Boulevard a Zacatecas,carretera,21.9444888,-102.2907844,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":4}"
Avenida Aguascalientes Poniente,carretera,21.8871686,-102.3170405,"{""codigo"":""Avenida Aguascalientes Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2}"
Avenida Aguascalientes Poniente,carretera,21.8712748,-102.3186969,"{""codigo"":""Avenida Aguascalientes Poniente"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":1}"
Prolongación Santa Cruz,carretera,22.0854272,-102.0746089,"{""codigo"":""Prolongación Santa Cruz"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Centauro,carretera,21.8984495,-102.3298112,"{""codigo"":""Avenida Centauro"",""tipo"":""calle"",""highway"":""residential""}"
Carretera Rincón de Romos - Loreto,carretera,22.2216798,-102.174036,"{""codigo"":""MX22"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""60""}"
Carretera Zacatecas-Aguascalientes,carretera,22.2649855,-102.310119,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""velocidad_max"":""90""}"
Avenida Licenciado Adolfo López Mateos Poniente,carretera,21.8768545,-102.3018678,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""tertiary"",""carriles"":1}"
Boulevard a Zacatecas,carretera,21.9147184,-102.2918531,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""secondary"",""carriles"":5,""velocidad_max"":""60""}"
Carretera Carboneras-Villa Juárez,carretera,22.1150743,-102.0833904,"{""codigo"":""AGS4"",""tipo"":""federal"",""highway"":""primary""}"
Avenida Francisco I. Madero,carretera,21.8848421,-102.2827635,"{""codigo"":""Avenida Francisco I. Madero"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Carretera Ojo Zarco,carretera,22.1145532,-102.2533744,"{""codigo"":""AGS11"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""60""}"
Carretera Carboneras-Arroyo Hondo,carretera,22.1867148,-102.2400975,"{""codigo"":""AGS9"",""tipo"":""estatal"",""highway"":""secondary"",""velocidad_max"":""60""}"
Avenida del Bosque,carretera,21.9633674,-102.2962772,"{""codigo"":""Avenida del Bosque"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Fundición,carretera,21.9000455,-102.3145152,"{""codigo"":""Avenida Fundición"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":3}"
Boulevard Solidaridad,carretera,21.9716606,-102.3539827,"{""codigo"":""Boulevard Solidaridad"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""60""}"
Avenida Aguascalientes Poniente,carretera,21.870247,-102.3185207,"{""codigo"":""Avenida Aguascalientes Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2}"
Avenida Jesús Macías Rangel,carretera,22.0996201,-102.0763074,"{""codigo"":""Avenida Jesús Macías Rangel"",""tipo"":""calle"",""highway"":""unclassified""}"
Calle Pedro Martínez,carretera,21.9346538,-102.0220455,"{""codigo"":""AGS67"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""20""}"
Camino El Mezquite,carretera,22.0785356,-102.2236923,"{""codigo"":""Camino El Mezquite"",""tipo"":""avenida"",""highway"":""tertiary"",""velocidad_max"":""30""}"
Avenida Gabriela Mistral,carretera,21.8964395,-102.2810137,"{""codigo"":""Avenida Gabriela Mistral"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Avenida La Ribera,carretera,21.9575784,-102.2533793,"{""codigo"":""Avenida La Ribera"",""tipo"":""avenida"",""highway"":""tertiary""}"
Carretera Rincón de Romos - Loreto,carretera,22.2251134,-102.2826217,"{""codigo"":""MX22"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Calle Matamoros,carretera,22.3661199,-102.2995751,"{""codigo"":""Calle Matamoros"",""tipo"":""avenida"",""highway"":""tertiary""}"
Carretera Jesús María-El Cereso,carretera,21.9112485,-102.3818909,"{""codigo"":""AGS52"",""tipo"":""estatal"",""highway"":""secondary"",""velocidad_max"":""60""}"
Calle Portal del Valle de Aguascalientes,carretera,21.9150348,-102.2415492,"{""codigo"":""Calle Portal del Valle de Aguascalientes"",""tipo"":""avenida"",""highway"":""tertiary""}"
Calle General Ignacio Zaragoza,carretera,21.8984234,-102.2984266,"{""codigo"":""Calle General Ignacio Zaragoza"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Avenida de las Orquídeas,carretera,21.8731395,-102.3059411,"{""codigo"":""Avenida de las Orquídeas"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Convención de 1914 Poniente,carretera,21.8745936,-102.3120619,"{""codigo"":""Avenida Convención de 1914 Poniente"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":5,""velocidad_max"":""50""}"
Carretera Sandovales,carretera,21.8900561,-102.1081691,"{""codigo"":""AGS86"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""60""}"
Avenida Aguascalientes Oriente,carretera,21.869982,-102.2541528,"{""codigo"":""Avenida Aguascalientes Oriente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""60""}"
Avenida Irrigación,carretera,22.1449902,-102.2744247,"{""codigo"":""Avenida Irrigación"",""tipo"":""calle"",""highway"":""residential""}"
Ruiz Requeña,carretera,21.9304276,-102.4944511,"{""codigo"":""Ruiz Requeña"",""tipo"":""avenida"",""highway"":""tertiary""}"
Avenida Convención de 1914 Poniente,carretera,21.86794,-102.3091318,"{""codigo"":""Avenida Convención de 1914 Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4,""velocidad_max"":""50""}"
Carretera La Guayana,carretera,21.9793856,-102.2606914,"{""codigo"":""AGS65"",""tipo"":""federal"",""highway"":""primary""}"
Avenida del Palmeral,carretera,21.8905856,-102.2703375,"{""codigo"":""Avenida del Palmeral"",""tipo"":""calle"",""highway"":""residential""}"
Avenida José Ezequiel Femat Gutiérrez,carretera,21.9370909,-102.246402,"{""codigo"":""Avenida José Ezequiel Femat Gutiérrez"",""tipo"":""avenida"",""highway"":""tertiary""}"
Avenida Mariano Hidalgo,carretera,21.8531388,-102.256235,"{""codigo"":""Avenida Mariano Hidalgo"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Calle Ébano,carretera,21.9039232,-102.2944854,"{""codigo"":""Calle Ébano"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Carretera a Morelos,carretera,22.2322755,-102.3422087,"{""codigo"":""AGS119"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""60""}"
Avenida Licenciado Adolfo López Mateos Oriente,carretera,21.8786382,-102.2809006,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4}"
Calle Camino al Cóbano,carretera,21.9044811,-102.2856207,"{""codigo"":""Calle Camino al Cóbano"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Calle Estrella Polar,carretera,21.8740102,-102.2654755,"{""codigo"":""Calle Estrella Polar"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Poliducto,carretera,21.9130803,-102.2525135,"{""codigo"":""Avenida Poliducto"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Villas de las Fuentes,carretera,21.915348,-102.2373631,"{""codigo"":""Avenida Villas de las Fuentes"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida del Campestre,carretera,21.9235695,-102.3383893,"{""codigo"":""Avenida del Campestre"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2}"
Avenida Ixtláhuatl,carretera,21.8625773,-102.2328456,"{""codigo"":""Avenida Ixtláhuatl"",""tipo"":""calle"",""highway"":""residential""}"
Carretera Luis Moya-Pabellón de Arteaga,carretera,22.1903158,-102.2444662,"{""codigo"":""MX71"",""tipo"":""federal"",""highway"":""primary"",""velocidad_max"":""80""}"
Calzada Isabel La Católica,carretera,21.9234831,-102.3233929,"{""codigo"":""Calzada Isabel La Católica"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Poliducto,carretera,21.8954977,-102.2462086,"{""codigo"":""Avenida Poliducto"",""tipo"":""avenida"",""highway"":""secondary""}"
Calle Pedro Martínez,carretera,21.9345798,-102.0220419,"{""codigo"":""AGS67"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""20""}"
Avenida Eugenio Garza Sada,carretera,21.9312854,-102.3397206,"{""codigo"":""AGS34"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2}"
Avenida Plutarco Elías Calles,carretera,22.1477843,-102.2765131,"{""codigo"":""AGS19"",""tipo"":""federal"",""highway"":""primary"",""carriles"":1,""velocidad_max"":""30""}"
Avenida de las Palomas,carretera,21.931194,-102.2997553,"{""codigo"":""Avenida de las Palomas"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Paseo de la Rotonda,carretera,21.9286607,-102.2375579,"{""codigo"":""Avenida Paseo de la Rotonda"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2,""velocidad_max"":""40""}"
Calle Antiguo Camino a San Ignacio,carretera,21.8983936,-102.3172251,"{""codigo"":""AGS34"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":3}"
Avenida Siglo XXI,carretera,21.8524794,-102.3533085,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":2}"
Avenida Julia Navarrete,carretera,21.9164607,-102.361971,"{""codigo"":""AGS141"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""60""}"
Bulevar San Marcos,carretera,21.8709487,-102.3127581,"{""codigo"":""Bulevar San Marcos"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Calle 5 de Mayo,carretera,21.8867973,-102.2969687,"{""codigo"":""Calle 5 de Mayo"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Avenida Lombardía,carretera,21.9607123,-102.3095177,"{""codigo"":""Avenida Lombardía"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Fundición,carretera,21.8965789,-102.3120754,"{""codigo"":""Avenida Fundición"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":3}"
Camino Norias del Borrego,carretera,22.2704157,-102.0673199,"{""codigo"":""AGS"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""30""}"
Avenida Eugenio Garza Sada,carretera,21.9492555,-102.3434707,"{""codigo"":""AGS34"",""tipo"":""estatal"",""highway"":""secondary"",""carriles"":2}"
Avenida Héroe de Nacozari Norte,carretera,21.8979259,-102.2871582,"{""codigo"":""Avenida Héroe de Nacozari Norte"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2,""velocidad_max"":""60""}"
Carretera San Marcos-Aguascalientes,carretera,21.9646032,-102.2718177,"{""codigo"":""MX25"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""80""}"
Avenida Portareal,carretera,21.9531558,-102.3054884,"{""codigo"":""Avenida Portareal"",""tipo"":""calle"",""highway"":""residential"",""velocidad_max"":""30""}"
Avenida Cultura Otomí,carretera,21.9227985,-102.2455533,"{""codigo"":""Avenida Cultura Otomí"",""tipo"":""calle"",""highway"":""residential""}"
Prolongación Olivos,carretera,21.9484819,-102.339669,"{""codigo"":""Prolongación Olivos"",""tipo"":""calle"",""highway"":""residential""}"
Calle de Moctezuma,carretera,21.880763,-102.2973557,"{""codigo"":""Calle de Moctezuma"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":2}"
Carretera San Marcos-Aguascalientes,carretera,22.0289541,-102.1270341,"{""codigo"":""MX25"",""tipo"":""federal"",""highway"":""primary"",""carriles"":1,""velocidad_max"":""80""}"
Avenida Convención de 1914 Norte,carretera,21.901235,-102.2902743,"{""codigo"":""Avenida Convención de 1914 Norte"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Unidad Nacional,carretera,21.9401741,-102.271812,"{""codigo"":""Avenida Unidad Nacional"",""tipo"":""calle"",""highway"":""residential""}"
Entrada Villa García-La Gloria-El Copetillo,carretera,22.1441102,-102.0093459,"{""codigo"":""ZAC130"",""tipo"":""avenida"",""highway"":""tertiary""}"
Calle Ramón Macías,carretera,22.1054726,-102.0079527,"{""codigo"":""Calle Ramón Macías"",""tipo"":""avenida"",""highway"":""tertiary""}"
Avenida Punta Dorada,carretera,21.9168073,-102.3296123,"{""codigo"":""Avenida Punta Dorada"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2}"
Calle Aglaya,carretera,21.9079771,-102.2919582,"{""codigo"":""Calle Aglaya"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3}"
Avenida Ayuntamiento,carretera,21.8708296,-102.2902231,"{""codigo"":""Avenida Ayuntamiento"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3}"
Boulevard a Zacatecas,carretera,21.9345452,-102.2911975,"{""codigo"":""MX45"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4}"
Avenida Ojocaliente,carretera,21.8826528,-102.2528139,"{""codigo"":""Avenida Ojocaliente"",""tipo"":""avenida"",""highway"":""secondary"",""velocidad_max"":""50""}"
Avenida Poliducto,carretera,21.9116257,-102.2516253,"{""codigo"":""Avenida Poliducto"",""tipo"":""avenida"",""highway"":""secondary""}"
Avenida Licenciado Adolfo López Mateos Poniente,carretera,21.8738858,-102.312639,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4}"
Avenida Siglo XXI,carretera,21.9522774,-102.3547689,"{""codigo"":""Avenida Siglo XXI"",""tipo"":""federal"",""highway"":""trunk"",""carriles"":3}"
Calzada de las Américas,carretera,21.9225365,-102.3213514,"{""codigo"":""Calzada de las Américas"",""tipo"":""calle"",""highway"":""residential""}"
Avenida Aguascalientes Sur,carretera,21.85929,-102.2967557,"{""codigo"":""Avenida Aguascalientes Sur"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4,""velocidad_max"":""50""}"
Avenida Paseo de la Solidaridad,carretera,21.9031229,-102.2837494,"{""codigo"":""Avenida Paseo de la Solidaridad"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Convención de 1914 Norte,carretera,21.9003006,-102.2939733,"{""codigo"":""Avenida Convención de 1914 Norte"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Ruiseñor,carretera,21.9665962,-102.3299245,"{""codigo"":""Avenida Ruiseñor"",""tipo"":""calle"",""highway"":""residential""}"
Carretera Rancho Viejo,carretera,22.1472605,-102.4958914,"{""codigo"":""AGS124"",""tipo"":""estatal"",""highway"":""tertiary"",""velocidad_max"":""60""}"
Avenida Alejandro de la Cruz Saucedo,carretera,21.9630432,-102.3364784,"{""codigo"":""Avenida Alejandro de la Cruz Saucedo"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2}"
Calle General Guadalupe Victoria,carretera,21.8817827,-102.2974996,"{""codigo"":""Calle General Guadalupe Victoria"",""tipo"":""avenida"",""highway"":""tertiary"",""carriles"":2}"
Avenida Profesor Juan Antonio Reyes Castañeda,carretera,22.0238966,-102.2766103,"{""codigo"":""Avenida Profesor Juan Antonio Reyes Castañeda"",""tipo"":""calle"",""highway"":""residential"",""carriles"":2,""velocidad_max"":""40""}"
Avenida Toscana,carretera,21.9555768,-102.309413,"{""codigo"":""Avenida Toscana"",""tipo"":""calle"",""highway"":""residential""}"
Calzada Santo Domingo,carretera,21.9416451,-102.3298909,"{""codigo"":""Calzada Santo Domingo"",""tipo"":""calle"",""highway"":""residential""}"
De Las Palmas de Guinea,carretera,21.858635,-102.3410246,"{""codigo"":""De Las Palmas de Guinea"",""tipo"":""calle"",""highway"":""tertiary_link""}"
Avenida Licenciado Adolfo López Mateos Oriente,carretera,21.8787377,-102.2829237,"{""codigo"":""MX70"",""tipo"":""federal"",""highway"":""primary"",""carriles"":3,""velocidad_max"":""50""}"
Avenida Convención de 1914 Poniente,carretera,21.8925549,-102.3118738,"{""codigo"":""Avenida Convención de 1914 Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":4,""velocidad_max"":""50""}"
Calle Enrique Olivares,carretera,22.1514314,-102.4152436,"{""codigo"":""AGS38"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""30""}"
Avenida Abelardo L. Rodríguez,carretera,21.8866055,-102.3372081,"{""codigo"":""AGS59"",""tipo"":""estatal"",""highway"":""secondary"",""velocidad_max"":""60""}"
Avenida Convención de 1914 Poniente,carretera,21.875587,-102.3121025,"{""codigo"":""Avenida Convención de 1914 Poniente"",""tipo"":""federal"",""highway"":""primary"",""carriles"":2,""velocidad_max"":""50""}"
Avenida Rosas Guadalupanas,carretera,21.9133918,-102.3582279,"{""codigo"":""AGS141"",""tipo"":""estatal"",""highway"":""secondary""}"
Calle Niños Héroes,carretera,22.2615231,-102.2479228,"{""codigo"":""Calle Niños Héroes"",""tipo"":""avenida"",""highway"":""tertiary""}"
Prolongación Alameda,carretera,21.889351,-102.2594665,"{""codigo"":""Prolongación Alameda"",""tipo"":""avenida"",""highway"":""secondary"",""carriles"":3}"
